epoch,phase,loss,accuracy,f1,recall,roc_auc
1,train,0.33080045648056305,0.8845858895705522,0.8826643712333356,0.8845858895705522,0.9233376151644176
1,val,0.5415135385134281,0.782051282051282,0.7614500932130801,0.782051282051282,0.9132149901380671
2,train,0.15998676906059855,0.9388420245398773,0.9384809217788952,0.9388420245398773,0.9785950782997762
2,val,0.7672769198050866,0.7259615384615384,0.6752710985384253,0.7259615384615384,0.9178391409160639
3,train,0.1342336464604717,0.9507285276073619,0.9505635244483762,0.9507285276073619,0.9850809458516754
3,val,0.5993782984904754,0.7868589743589743,0.7627410080054121,0.7868589743589743,0.9282599167214551
4,train,0.12286630320859833,0.9524539877300614,0.9523246625178109,0.9524539877300614,0.9874926270717569
4,val,0.5580425361792246,0.7884615384615384,0.7684662669421071,0.7884615384615384,0.9243699320622396
5,train,0.11099559588620633,0.9580138036809815,0.9578412924588345,0.9580138036809815,0.9893389141468812
5,val,0.950902371834486,0.7387820512820513,0.6967615985300873,0.7387820512820513,0.8838428665351742
6,train,0.09313922820532797,0.9637653374233128,0.9636622333601502,0.9637653374233128,0.9928378917995718
6,val,0.7335896109923338,0.7708333333333334,0.7412863683355487,0.7708333333333334,0.9171049747972825
7,train,0.08927252970384492,0.9691334355828221,0.9690687664325117,0.9691334355828221,0.9927332034350871
7,val,0.6115830494807317,0.7788461538461539,0.7554597701149425,0.7788461538461539,0.9260683760683761
8,train,0.09002541828660603,0.9672162576687117,0.9671800798243019,0.9672162576687117,0.9932243150273028
8,val,0.7106844928020086,0.7708333333333334,0.7412863683355487,0.7708333333333334,0.9207867630944555
9,train,0.08868570580644293,0.9681748466257669,0.9681436487617809,0.9681748466257669,0.9931230906160544
9,val,0.7368518969951532,0.7676282051282052,0.7376679958647172,0.7676282051282052,0.9198005698005699
10,train,0.08517786967596667,0.9695168711656442,0.9694982304718069,0.9695168711656442,0.9937387120829424
10,val,0.6507507784244342,0.7788461538461539,0.7548126834394987,0.7788461538461539,0.9235919351303968
