epoch,phase,loss,accuracy,f1,recall,roc_auc
1,train,0.17793999919153614,0.9277223926380368,0.9277663097237007,0.9277223926380368,0.9750791657645956
1,val,0.5326818823814392,0.6875,0.6862745098039216,0.6875,0.828125
2,train,0.11663545642413793,0.9576303680981595,0.9576251994365051,0.9576303680981595,0.9885983017007047
2,val,0.4087679088115692,0.75,0.7333333333333334,0.75,0.9375
3,train,0.11337876616994295,0.9566717791411042,0.9567033513209288,0.9566717791411042,0.9894909432056
3,val,0.2888250946998596,0.875,0.873015873015873,0.875,0.953125
4,train,0.10724106232744236,0.959739263803681,0.9597880340609267,0.959739263803681,0.9904927954583723
4,val,0.9971268177032471,0.6875,0.6536796536796536,0.6875,0.90625
5,train,0.10076597804043648,0.9649156441717791,0.9649027879684823,0.9649156441717791,0.9915750884029731
5,val,0.4327673017978668,0.875,0.873015873015873,0.875,0.953125
6,train,0.07330257459572213,0.9720092024539877,0.9720023689105423,0.9720092024539877,0.9955563253229415
6,val,0.3428114056587219,0.8125,0.8056680161943319,0.8125,1.0
7,train,0.059774137173487916,0.9792944785276073,0.9793045497731464,0.9792944785276073,0.9970023333573885
7,val,0.2384508103132248,0.875,0.873015873015873,0.875,1.0
8,train,0.052062022572588976,0.9808282208588958,0.9808468237439885,0.9808282208588958,0.9977316879555459
8,val,0.25370505452156067,0.75,0.7333333333333334,0.75,1.0
9,train,0.0489620763445673,0.9798696319018405,0.9798769802084701,0.9798696319018405,0.9981202280435881
9,val,0.24204391241073608,0.875,0.873015873015873,0.875,1.0
10,train,0.046488308602018406,0.9819785276073619,0.9820090123475768,0.9819785276073619,0.9982483943133434
10,val,0.2787784934043884,0.8125,0.8056680161943319,0.8125,1.0
11,train,0.04346137255661624,0.9852377300613497,0.9852431188195448,0.9852377300613497,0.9983315291910226
11,val,0.2678696811199188,0.8125,0.8056680161943319,0.8125,1.0
12,train,0.04114622685149815,0.9846625766871165,0.984681155832734,0.9846625766871165,0.9986080681244136
12,val,0.27905499935150146,0.8125,0.8056680161943319,0.8125,1.0
13,train,0.034211330892849556,0.9883052147239264,0.9883094837401588,0.9883052147239264,0.9990745471602801
13,val,0.2755071222782135,0.8125,0.8056680161943319,0.8125,1.0
14,train,0.03773001550933906,0.9850460122699386,0.9850496537555096,0.9850460122699386,0.9988803733371822
14,val,0.24382296204566956,0.8125,0.8056680161943319,0.8125,1.0
15,train,0.038281424452430726,0.9871549079754601,0.9871627128686683,0.9871549079754601,0.998759904741286
15,val,0.19629089534282684,0.875,0.873015873015873,0.875,1.0
16,train,0.035627241611717826,0.9871549079754601,0.9871470530918935,0.9871549079754601,0.999013158211253
16,val,0.2656726539134979,0.8125,0.8056680161943319,0.8125,1.0
17,train,0.039987534790248414,0.9860046012269938,0.9860097100496983,0.9860046012269938,0.9986415530057011
17,val,0.2385452389717102,0.8125,0.8056680161943319,0.8125,1.0
18,train,0.03312839177419986,0.9890720858895705,0.9890680814983797,0.9890720858895705,0.9990539558827067
18,val,0.2423357516527176,0.8125,0.8056680161943319,0.8125,1.0
19,train,0.03431864641749648,0.9867714723926381,0.9867666249717227,0.9867714723926381,0.9990647326261096
19,val,0.22474239766597748,0.875,0.873015873015873,0.875,1.0
20,train,0.03251430911491939,0.9890720858895705,0.9890760749703124,0.9890720858895705,0.999220225638065
20,val,0.26322612166404724,0.8125,0.8056680161943319,0.8125,1.0
21,train,0.03595786619370095,0.9871549079754601,0.9871407330305745,0.9871549079754601,0.9988669024079286
21,val,0.2528913617134094,0.8125,0.8056680161943319,0.8125,1.0
22,train,0.03658164300715859,0.9850460122699386,0.9850423614727555,0.9850460122699386,0.9989993023983065
22,val,0.20153065025806427,0.875,0.873015873015873,0.875,1.0
23,train,0.03523886278257391,0.9881134969325154,0.9881192785734729,0.9881134969325154,0.9988965384522867
23,val,0.2370084971189499,0.8125,0.8056680161943319,0.8125,1.0
24,train,0.03733266956862805,0.9871549079754601,0.9871595968949285,0.9871549079754601,0.9988351495032595
24,val,0.25672343373298645,0.8125,0.8056680161943319,0.8125,1.0
25,train,0.03357654520270466,0.9879217791411042,0.9879378630536249,0.9879217791411042,0.9991557576194943
25,val,0.25165829062461853,0.8125,0.8056680161943319,0.8125,1.0
26,train,0.0349724112936307,0.9886886503067485,0.9886761678925954,0.9886886503067485,0.998985831469053
26,val,0.24400947988033295,0.8125,0.8056680161943319,0.8125,1.0
27,train,0.03509049179343838,0.9881134969325154,0.9881364469860073,0.9881134969325154,0.9990443337903828
27,val,0.20305615663528442,0.875,0.873015873015873,0.875,1.0
28,train,0.034568660488663576,0.986579754601227,0.9865895335949779,0.986579754601227,0.9989971855379953
28,val,0.25115901231765747,0.8125,0.8056680161943319,0.8125,1.0
29,train,0.04023609228112215,0.9844708588957055,0.9844765275893912,0.9844708588957055,0.9986890861417815
29,val,0.21599872410297394,0.875,0.873015873015873,0.875,1.0
30,train,0.03499892192922727,0.9867714723926381,0.9867666249717227,0.9867714723926381,0.9990447186740756
30,val,0.21014416217803955,0.875,0.873015873015873,0.875,1.0
31,train,0.03671315020775891,0.9858128834355828,0.9858128834355828,0.9858128834355828,0.9989026965913738
31,val,0.2135777473449707,0.875,0.873015873015873,0.875,1.0
32,train,0.03643695226059141,0.9848542944785276,0.9848413114911211,0.9848542944785276,0.9989842919342812
32,val,0.26002246141433716,0.8125,0.8056680161943319,0.8125,1.0
33,train,0.035182153188303526,0.9856211656441718,0.9856264144346214,0.9856211656441718,0.9990637704168771
33,val,0.2293231040239334,0.875,0.873015873015873,0.875,1.0
34,train,0.03956940539889723,0.9854294478527608,0.9854506010501047,0.9854294478527608,0.9987023646291886
34,val,0.27101266384124756,0.8125,0.8056680161943319,0.8125,1.0
35,train,0.0337450783389072,0.9875383435582822,0.9875489307065296,0.9875383435582822,0.9991032209954055
35,val,0.2576006352901459,0.8125,0.8056680161943319,0.8125,1.0
36,train,0.03325184479932889,0.9886886503067485,0.9886900284148479,0.9886886503067485,0.9991172692501985
36,val,0.22339260578155518,0.875,0.873015873015873,0.875,1.0
37,train,0.03537029700290892,0.9873466257668712,0.9873466257668712,0.9873466257668712,0.9989929518173728
37,val,0.21522437036037445,0.875,0.873015873015873,0.875,1.0
38,train,0.033647451787955626,0.9875383435582822,0.9875459154696036,0.9875383435582822,0.9990323061749777
38,val,0.25885140895843506,0.8125,0.8056680161943319,0.8125,1.0
39,train,0.03567633341620762,0.9869631901840491,0.986956816558138,0.9869631901840491,0.9989848692598206
39,val,0.2519184648990631,0.8125,0.8056680161943319,0.8125,1.0
40,train,0.03311245791982585,0.9877300613496932,0.9877240626429534,0.9877300613496932,0.999064925067956
40,val,0.2286713421344757,0.875,0.873015873015873,0.875,1.0
41,train,0.036034575417463556,0.9871549079754601,0.9871564729456745,0.9871549079754601,0.9988996175218301
41,val,0.2157764434814453,0.875,0.873015873015873,0.875,1.0
42,train,0.036091497231509104,0.9852377300613497,0.9852395286092082,0.9852377300613497,0.9989952611195305
42,val,0.23323626816272736,0.875,0.873015873015873,0.875,1.0
43,train,0.0371017906267733,0.9871549079754601,0.9871720130887757,0.9871549079754601,0.9988828750811863
