epoch,phase,loss,accuracy,f1,recall,roc_auc
1,train,0.35933964708648575,0.8878450920245399,0.8842557118585537,0.8878450920245399,0.9202327584133171
1,val,0.683623731136322,0.6875,0.6536796536796536,0.6875,0.890625
2,train,0.1516011387589702,0.9444018404907976,0.9441094234394307,0.9444018404907976,0.9813477664718193
2,val,0.7207697033882141,0.625,0.6,0.625,0.90625
3,train,0.13304926500158623,0.9497699386503068,0.9495699371568969,0.9497699386503068,0.9850190757980322
3,val,0.5093907713890076,0.625,0.6,0.625,0.890625
4,train,0.1329428216191066,0.9511119631901841,0.9509973404660887,0.9511119631901841,0.9849980996367662
4,val,1.1710460186004639,0.5625,0.45893719806763283,0.5625,0.90625
5,train,0.12028666365708858,0.9530291411042945,0.952800184050537,0.9530291411042945,0.9875595006134085
5,val,0.6677019596099854,0.625,0.6,0.625,0.90625
6,train,0.09494758103374232,0.9652990797546013,0.965235012279186,0.9652990797546013,0.9920282889514325
6,val,0.8056323528289795,0.5625,0.5151515151515151,0.5625,0.90625
7,train,0.09405233719289029,0.9662576687116564,0.9661995613452412,0.9662576687116564,0.9927532173871207
7,val,0.6912203431129456,0.625,0.6,0.625,0.90625
8,train,0.09129397975612272,0.9677914110429447,0.9677279401905494,0.9677914110429447,0.9926115801881119
8,val,0.6397175788879395,0.5625,0.5151515151515151,0.5625,0.90625
9,train,0.08554926314076945,0.9664493865030674,0.9663623324728864,0.9664493865030674,0.994230978326237
9,val,0.9637857675552368,0.5625,0.45893719806763283,0.5625,0.90625
10,train,0.09046557737354395,0.9660659509202454,0.9659779019868623,0.9660659509202454,0.9930392821919126
10,val,0.88496333360672,0.625,0.5636363636363637,0.625,0.90625
11,train,0.08903633266047466,0.9677914110429447,0.9676876102455721,0.9677914110429447,0.9934519737316879
11,val,0.7772220373153687,0.5625,0.5151515151515151,0.5625,0.90625
12,train,0.08588054109124775,0.968941717791411,0.968865017105016,0.968941717791411,0.9937153303985952
12,val,0.7937760353088379,0.5625,0.5151515151515151,0.5625,0.90625
13,train,0.08365783222773872,0.9699003067484663,0.9698596576451332,0.9699003067484663,0.9940427702003802
13,val,0.745989978313446,0.5625,0.5151515151515151,0.5625,0.90625
14,train,0.08429356614710545,0.9681748466257669,0.9681042018187529,0.9681748466257669,0.9941636236799691
14,val,0.8104265332221985,0.625,0.5636363636363637,0.625,0.90625
15,train,0.0822649469736255,0.9664493865030674,0.9664288700161399,0.9664493865030674,0.9946664742248201
15,val,0.7541919946670532,0.5625,0.5151515151515151,0.5625,0.90625
16,train,0.07780190403258964,0.9700920245398773,0.9700330873197959,0.9700920245398773,0.9949370474609703
16,val,0.7592468857765198,0.5625,0.5151515151515151,0.5625,0.90625
17,train,0.08115574899215273,0.9708588957055214,0.97080871207089,0.9708588957055214,0.9944796131918885
17,val,0.7601079940795898,0.5625,0.5151515151515151,0.5625,0.90625
18,train,0.08294527417483048,0.9702837423312883,0.9702582693813134,0.9702837423312883,0.9938404175988068
18,val,0.7652168273925781,0.5625,0.5151515151515151,0.5625,0.90625
19,train,0.0865488535084653,0.9681748466257669,0.9681357994670957,0.9681748466257669,0.9937759495802362
19,val,0.7622013688087463,0.5625,0.5151515151515151,0.5625,0.90625
20,train,0.08547895294585568,0.9693251533742331,0.9692950831438852,0.9693251533742331,0.9936524981357195
20,val,0.7696475982666016,0.5625,0.5151515151515151,0.5625,0.90625
21,train,0.08085856185026147,0.9714340490797546,0.9713813084508216,0.9714340490797546,0.9945229126073465
21,val,0.7686083316802979,0.5625,0.5151515151515151,0.5625,0.90625
22,train,0.08125010238206186,0.9702837423312883,0.9702214832114243,0.9702837423312883,0.9942642707656779
22,val,0.768751323223114,0.5625,0.5151515151515151,0.5625,0.90625
23,train,0.08124396581477,0.9716257668711656,0.9715979519080938,0.9716257668711656,0.9941816169926151
23,val,0.7694089412689209,0.5625,0.5151515151515151,0.5625,0.90625
24,train,0.08368314460399875,0.9679831288343558,0.9678678194984245,0.9679831288343558,0.9939321161386543
24,val,0.7685547471046448,0.5625,0.5151515151515151,0.5625,0.90625
25,train,0.08261068260791408,0.9677914110429447,0.9677598373010795,0.9677914110429447,0.9943229655288541
25,val,0.7687931656837463,0.5625,0.5151515151515151,0.5625,0.90625
26,train,0.08095023557086664,0.9714340490797546,0.9713527659823409,0.9714340490797546,0.9941720911212143
